voltage,current
0.000000000000000000e+00,8.517439188078867907e-07
5.555555555555555802e-01,9.517723959650039485e-07
1.111111111111111160e+00,2.123683248276852889e-08
1.666666666666666741e+00,7.643917643493685039e-07
2.222222222222222321e+00,8.202559353130715686e-07
2.777777777777777679e+00,8.373165381007696281e-08
3.333333333333333481e+00,8.244797001826810304e-07
3.888888888888889284e+00,2.140689575359404424e-07
4.444444444444444642e+00,6.569018391217953041e-07
5.000000000000000000e+00,3.984248562639104024e-07
